County,Year,Life Expectancy
Contra Costa County,1995,77.04
Solano County,2006,78.22
Sonoma County,1992,76.69
Alameda County,1994,76.00
San Francisco County,2013,82.57
Napa County,2010,81.17
Marin County,1992,78.76
Contra Costa County,2001,78.85
San Francisco County,2007,80.52
Alameda County,2003,78.72
Napa County,2000,78.73
Sonoma County,2006,80.21
San Francisco County,2001,78.46
Alameda County,1998,77.34
Santa Clara County,2009,82.81
San Mateo County,1992,77.71
Napa County,1990,76.33
Marin County,2002,81.23
Santa Clara County,1993,78.15
Sonoma County,1990,76.57
Santa Clara County,2004,81.69
Contra Costa County,1990,76.53
Marin County,1991,77.58
San Mateo County,2002,80.71
Contra Costa County,2007,80.24
Contra Costa County,2013,81.81
San Mateo County,1991,77.58
Contra Costa County,1997,78.05
Santa Clara County,2006,81.85
Napa County,2008,80.23
Santa Clara County,2012,83.37
Napa County,2007,80.24
Sonoma County,1997,77.57
Marin County,2009,83.84
Solano County,1990,75.31
Santa Clara County,2010,83.10
San Francisco County,2003,79.23
Sonoma County,2001,78.84
Sonoma County,2012,81.50
Marin County,2011,83.71
Napa County,1991,77.47
San Francisco County,2005,79.83
Alameda County,1995,75.92
San Francisco County,1999,77.72
Alameda County,2011,81.47
San Francisco County,2002,79.03
Solano County,2002,77.72
Solano County,2007,78.44
Marin County,2007,82.72
Alameda County,1992,75.88
Contra Costa County,2008,80.51
Alameda County,1997,77.07
Solano County,2005,77.93
Sonoma County,2007,80.09
Alameda County,1990,75.15
Alameda County,1999,77.57
Napa County,2004,78.94
San Francisco County,2012,82.19
Contra Costa County,2000,78.99
Marin County,2006,82.50
Alameda County,1996,76.53
Santa Clara County,1990,77.69
Marin County,2004,82.30
Marin County,1996,79.26
Sonoma County,2008,80.56
Solano County,2010,79.09
Marin County,2008,83.07
San Mateo County,1996,78.82
Napa County,2012,81.27
Santa Clara County,1992,78.36
San Mateo County,2007,81.89
Sonoma County,2000,78.84
Sonoma County,1998,77.65
Marin County,1998,80.10
Solano County,1995,76.07
Alameda County,2005,79.55
Napa County,2011,81.04
San Francisco County,2004,79.78
San Mateo County,2000,80.05
Alameda County,2008,80.41
Marin County,2000,80.82
Marin County,2003,81.58
Marin County,1999,80.81
Alameda County,2004,79.35
San Francisco County,2000,78.05
Marin County,2005,82.15
San Francisco County,2008,80.92
San Mateo County,2012,83.39
San Mateo County,2013,83.73
Alameda County,2007,79.88
Alameda County,1993,75.68
San Francisco County,1993,72.95
San Francisco County,1991,71.90
Alameda County,2001,78.52
San Mateo County,1997,79.12
Napa County,1994,76.69
Marin County,1997,79.46
Solano County,2003,77.79
Solano County,2001,78.22
Alameda County,2012,81.45
Napa County,2003,78.85
Contra Costa County,2004,79.76
Napa County,2002,79.18
San Francisco County,2010,81.98
Napa County,2013,81.14
Solano County,1993,76.28
Sonoma County,2004,80.17
Contra Costa County,1992,77.58
Contra Costa County,2010,81.20
Sonoma County,1994,77.13
Sonoma County,1993,76.78
San Mateo County,1995,78.13
Napa County,1996,77.59
